virus,virus_taxid,virus_family,virus_genus,zoonotic_llm,confidence,reasoning
orthobunyavirus ileshaense,3052399,Peribunyaviridae,Orthobunyavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
orthobunyavirus maguariense,3052414,Peribunyaviridae,Orthobunyavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
orthobunyavirus tataguineense,3052446,Peribunyaviridae,Orthobunyavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
oya virus,181003,Peribunyaviridae,Orthobunyavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
restan virus,348011,Peribunyaviridae,Orthobunyavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
xingu virus,273348,Peribunyaviridae,Orthobunyavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
gemycircularvirus cn-gz1,2583509,Genomoviridae,Gemycircularvirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
gemycircularvirus hv-gcv1,1862824,Genomoviridae,Gemycircularvirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human genital-associated circular dna virus-1,1488574,Genomoviridae,Gemygorvirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
gemycircularvirus bz1,1588761,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
gemycircularvirus bz2,1588762,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
gemycircularvirus c1c,1673681,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
gemycircularvirus sl1,1588764,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
gemycircularvirus sl2,1588765,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
gemycircularvirus sl3,1588766,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human associated gemykibivirus 1,2004487,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human associated gemykibivirus 4,2004961,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human associated gemykibivirus 5,2004962,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mssi2.225 virus,1516081,Genomoviridae,Gemykibivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human associated gemyvongvirus 1,1985415,Genomoviridae,Gemyvongvirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
genomovirus az4_17,2853105,Genomoviridae,,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mammarenavirus brazilense,3052299,Arenaviridae,Mammarenavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mammarenavirus chapareense,3052302,Arenaviridae,Mammarenavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
orthonairovirus bushkeyense,3052510,Nairoviridae,Orthonairovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
huaiyangshan virus,1001303,Phenuiviridae,Bandavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
morumbi virus,1000647,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
phlebovirus alenquerense,2734436,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
phlebovirus candiruense,3052640,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
phlebovirus chagresense,3052641,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
phlebovirus echarateense,3052647,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
phlebovirus maldonadoense,3052660,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
phlebovirus mungubaense,3052665,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
phlebovirus sdyy104/china/2011,1848960,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
sand fever naples-like virus,1048856,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
sandfly fever turkey virus,688699,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
serra norte virus,1000649,Phenuiviridae,Phlebovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
dar es salaam virus tz-189,2576944,Phenuiviridae,Tanzavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
rubella virus,11041,Matonaviridae,Rubivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
rubella virus genotype 1a,1812175,Matonaviridae,Rubivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
rubella virus genotype 2b,1136260,Matonaviridae,Rubivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human betaherpesvirus 6b,32604,Orthoherpesviridae,Roseolovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
babanki virus,48540,Togaviridae,Alphavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
bebaru virus,59305,Togaviridae,Alphavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
igbo ora virus,79899,Togaviridae,Alphavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
kyzylagach virus,48542,Togaviridae,Alphavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mosso das pedras virus,2083199,Togaviridae,Alphavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
sindbis-like virus yn87448,84272,Togaviridae,Alphavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
orthobornavirus bornaense,1714619,Bornaviridae,Orthobornavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
measles virus genotype d11,1511733,Paramyxoviridae,Morbillivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
measles virus genotype d4,170525,Paramyxoviridae,Morbillivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
measles virus genotype d8,170528,Paramyxoviridae,Morbillivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
measles virus genotype d9,1056491,Paramyxoviridae,Morbillivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
measles virus genotype g3,1056492,Paramyxoviridae,Morbillivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
measles virus genotype h1,763792,Paramyxoviridae,Morbillivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
measles virus strain moraten,132484,Paramyxoviridae,Morbillivirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human orthorubulavirus 4,2560526,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human parainfluenza virus 4a,11224,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human parainfluenza virus 4b,11226,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mumps virus genotype a,1395181,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mumps virus genotype b,1395182,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mumps virus genotype c,1428458,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mumps virus genotype d,1395179,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mumps virus genotype f,1384673,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mumps virus genotype g,1384672,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mumps virus genotype h,1395180,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mumps virus genotype i,1578041,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
mumps virus genotype n,1395183,Paramyxoviridae,Orthorubulavirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
human respiratory syncytial virus a,208893,Pneumoviridae,Orthopneumovirus,False,low,"Error: ""Could not resolve authentication method. Expected either api_key or auth_token to be set. Or for one of the `X-Api-Key` or `Authorization` headers to be explicitly omitted"""
